Timestep,Training Rewards,Max Q,Eval Rewards,Loss
6581,18.4,29.475445,58.5,22.858806610107422
6686,16.4,25.590464,39.7,1.5243123769760132
6786,19.1,28.999619,55.8,46.724464416503906
6887,20.1,28.511562,75.9,24.560943603515625
6996,21.0,27.764774,66.7,105.67476654052734
7125,23.8,25.965466,117.5,22.460098266601562
7258,21.5,30.018955,67.1,1.6969687938690186
7369,20.7,26.190891,76.4,53.30439758300781
7477,21.9,29.048721,53.0,1.751381754875183
7596,22.7,24.852863,67.9,1.500617265701294
7716,20.0,29.315546,64.5,17.811098098754883
7828,20.7,27.68418,58.0,18.544038772583008
7942,22.6,31.80335,68.1,13.612582206726074
8044,25.8,30.491064,86.0,52.45454406738281
8154,26.2,30.919977,66.2,74.25870513916016
8285,30.6,28.144665,70.0,55.54041290283203
8395,27.5,30.933014,79.1,25.877416610717773
8511,21.0,31.266815,78.4,39.21034240722656
8618,18.7,30.263403,91.4,48.09189987182617
8740,19.4,34.35264,99.4,51.466556549072266
8844,21.4,32.00521,90.4,50.97873306274414
8948,20.8,31.067337,73.6,28.69036102294922
9051,18.4,34.235283,51.3,41.16478729248047
9162,21.4,30.535559,86.8,71.99149322509766
9262,21.1,34.09733,85.1,2.665968656539917
9372,21.0,34.28913,68.4,33.39900207519531
9480,19.7,34.379997,68.7,23.761722564697266
9605,20.9,33.026367,93.4,1.4352974891662598
9755,29.5,36.35717,41.2,33.92397689819336
9857,28.8,34.00834,66.5,2.636805534362793
9966,27.3,35.285103,41.5,64.71781921386719
10085,24.5,42.388355,57.0,100.2250747680664
10216,27.4,25.651453,41.3,18.0445556640625
10327,24.2,30.15705,52.9,15.2979097366333
10446,21.6,32.51571,53.0,9.607234954833984
10553,22.6,34.371117,65.4,29.711244583129883
10674,22.8,22.280828,74.5,3.277022361755371
10782,26.2,33.910114,64.2,2.5849130153656006
10884,27.3,34.455666,58.2,63.68675994873047
11010,20.3,33.857964,63.4,46.49302291870117
11120,19.7,36.1272,72.1,72.32459259033203
11222,21.2,36.097485,63.7,2.7034318447113037
11324,17.9,37.407085,64.3,29.642650604248047
11439,19.9,30.20631,46.3,34.90217208862305
11541,23.9,38.315002,53.0,75.19878387451172
11648,26.5,38.05738,41.0,2.6562306880950928
11758,24.1,37.44149,56.0,39.41273498535156
11889,24.1,32.25481,42.7,21.50666046142578
11996,23.8,39.31441,71.9,57.431461334228516
12106,21.7,39.268982,68.9,30.262685775756836
12220,21.0,39.134388,57.7,47.193092346191406
12323,17.9,37.0323,79.4,57.0201530456543
12445,21.2,38.017918,72.0,30.66813850402832
12560,21.5,41.077076,77.6,89.911865234375
12660,21.5,35.04284,78.1,46.03018569946289
12780,22.0,41.342236,61.4,3.2956395149230957
12928,24.7,34.95021,64.8,60.02952575683594
13030,25.0,43.00875,62.1,33.615928649902344
13130,29.3,39.97334,64.8,26.179841995239258
13237,28.0,39.846306,64.0,52.03558349609375
13337,20.7,38.31189,71.2,29.25794792175293
13457,22.0,40.01801,73.7,77.73477935791016
13567,23.0,39.857838,61.8,30.18138885498047
13668,18.5,39.805725,58.1,73.8794174194336
13777,21.0,40.27053,65.0,76.71476745605469
13878,21.0,37.678886,59.5,5.730296611785889
13980,20.3,36.334667,45.5,92.20523071289062
14083,22.1,41.502026,53.6,47.750762939453125
14201,22.1,44.454292,55.7,7.7530837059021
14305,22.2,42.653866,50.5,3.9321045875549316
14434,29.4,42.270123,61.5,83.3882827758789
14566,32.5,44.805416,41.5,3.941965103149414
14667,23.3,42.80784,44.0,99.61296844482422
14790,28.0,43.0011,49.0,13.365450859069824
14896,24.5,41.786507,57.5,109.63200378417969
14999,20.9,42.344505,40.1,38.75419235229492
15139,20.5,42.471504,49.9,76.98056030273438
15260,23.1,43.259254,42.3,3.4097683429718018
15378,20.5,48.119694,51.4,8.378273963928223
15489,17.9,41.4291,79.9,50.25133514404297
15612,23.4,49.50962,55.0,61.76972579956055
15738,27.6,30.164669,47.2,3.8082823753356934
